"eventId","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","Latitude","Longitude","Location"
"E1","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","","false","false",734,7,6,67,"11",41.763181359,-87.657709477,"(41.763181359, -87.657709477)"
"E2","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",2211,22,19,74,"14",41.689078832,-87.696064026,"(41.689078832, -87.696064026)"
"E3","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false",613,6,21,71,"14",41.740520866,-87.647390719,"(41.740520866, -87.647390719)"
"E4","BATTERY","AGG: HANDS/FIST/FEET NO/MINOR INJURY","OTHER","true","false",1233,12,25,31,"08B",41.857068095,-87.657625201,"(41.857068095, -87.657625201)"
"E5","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","false",621,6,17,71,"08B",41.75191443,-87.647716532,"(41.75191443, -87.647716532)"
"E6","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1522,15,29,25,"04B",41.87568438,-87.760479356,"(41.87568438, -87.760479356)"
"E7","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",612,6,21,71,"08B",41.750154295,-87.661008708,"(41.750154295, -87.661008708)"
"E8","BATTERY","SIMPLE","VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)","false","false",1931,19,32,5,"08B",41.939624824,-87.67399611,"(41.939624824, -87.67399611)"
"E9","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false",1422,14,26,23,"14",41.905562114,-87.707588672,"(41.905562114, -87.707588672)"
"E10","THEFT","FROM BUILDING","BAR OR TAVERN","false","false",1924,19,44,6,"06",41.940518859,-87.6541242,"(41.940518859, -87.6541242)"
"E11","CRIMINAL TRESPASS","TO LAND","MOVIE HOUSE/THEATER","true","false",1913,19,46,3,"26",41.968462892,-87.659670442,"(41.968462892, -87.659670442)"
"E12","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN","GAS STATION","true","false",731,7,6,69,"15",41.764632089,-87.628311641,"(41.764632089, -87.628311641)"
"E13","NARCOTICS","POSS: COCAINE","ALLEY","true","false",2514,25,30,19,"18",41.935639786,-87.773688687,"(41.935639786, -87.773688687)"
"E14","BATTERY","SIMPLE","PARK PROPERTY","false","false",2432,24,49,1,"08B",42.005578346,-87.658307685,"(42.005578346, -87.658307685)"
"E15","WEAPONS VIOLATION","RECKLESS FIREARM DISCHARGE","STREET","true","false",632,6,8,44,"15",41.733551299,-87.604749489,"(41.733551299, -87.604749489)"
"E16","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",2232,22,34,73,"14",41.708137453,-87.654708065,"(41.708137453, -87.654708065)"
"E17","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","BAR OR TAVERN","false","false",1924,19,44,6,"11",41.940518859,-87.6541242,"(41.940518859, -87.6541242)"
"E18","ROBBERY","ARMED: OTHER DANGEROUS WEAPON","CTA PLATFORM","false","false",121,1,25,28,"03",41.875717757,-87.64099364,"(41.875717757, -87.64099364)"
"E19","NARCOTICS","MANU/DEL:CANNABIS OVER 10 GMS","STREET","true","false",613,6,21,71,"18",41.738925174,-87.648561871,"(41.738925174, -87.648561871)"
"E20","CRIMINAL DAMAGE","TO VEHICLE","VEHICLE NON-COMMERCIAL","false","false",1723,17,35,16,"14",41.955601121,-87.718408105,"(41.955601121, -87.718408105)"
"E21","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",1022,10,24,29,"08B",41.858384589,-87.707876278,"(41.858384589, -87.707876278)"
"E22","THEFT","POCKET-PICKING","BAR OR TAVERN","false","false",1831,18,42,8,"06",41.890013524,-87.631664996,"(41.890013524, -87.631664996)"
"E23","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT/GARAGE(NON.RESID.)","false","false",825,8,16,66,"14",41.784108602,-87.693528912,"(41.784108602, -87.693528912)"
"E24","ASSAULT","AGGRAVATED: HANDGUN","SIDEWALK","false","false",834,8,18,70,"04A",41.74937879,-87.725239484,"(41.74937879, -87.725239484)"
"E25","WEAPONS VIOLATION","RECKLESS FIREARM DISCHARGE","RESIDENTIAL YARD (FRONT/BACK)","true","false",2232,22,34,73,"15",41.710026548,-87.646561348,"(41.710026548, -87.646561348)"
"E26","NARCOTICS","POSS: HEROIN(WHITE)","SIDEWALK","true","false",1624,16,45,15,"18",41.955789401,-87.750288365,"(41.955789401, -87.750288365)"
"E27","LIQUOR LAW VIOLATION","LIQUOR LICENSE VIOLATION","BAR OR TAVERN","true","false",1831,18,42,8,"22",41.891051707,-87.63405559,"(41.891051707, -87.63405559)"
"E28","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN","RESIDENTIAL YARD (FRONT/BACK)","true","false",1522,15,29,25,"15",41.87749962,-87.760187749,"(41.87749962, -87.760187749)"
"E29","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN","RESIDENCE","true","false",1024,10,12,30,"15",41.850909651,-87.706444228,"(41.850909651, -87.706444228)"
"E30","NARCOTICS","FOUND SUSPECT NARCOTICS","ALLEY","true","false",1121,11,27,23,"18",41.892395756,-87.70768047,"(41.892395756, -87.70768047)"
"E31","BATTERY","SIMPLE","BAR OR TAVERN","false","false",1214,12,27,28,"08B",41.88705768,-87.647514742,"(41.88705768, -87.647514742)"
"E32","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","false",715,7,15,67,"08B",41.791531335,-87.675449976,"(41.791531335, -87.675449976)"
"E33","THEFT","OVER $500","STREET","false","false",1624,16,45,15,"06",41.953347206,-87.753027408,"(41.953347206, -87.753027408)"
"E34","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",333,3,5,43,"07",41.76035956,-87.574933738,"(41.76035956, -87.574933738)"
"E35","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false",612,6,17,71,"14",41.756852897,-87.65026616,"(41.756852897, -87.65026616)"
"E36","THEFT","OVER $500","RESIDENTIAL YARD (FRONT/BACK)","false","false",715,7,15,67,"06",41.787945216,-87.674129916,"(41.787945216, -87.674129916)"
"E37","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",822,8,23,63,"14",41.78894435,-87.709552791,"(41.78894435, -87.709552791)"
"E38","THEFT","$500 AND UNDER","VEHICLE NON-COMMERCIAL","false","false",1431,14,1,22,"06",41.926647792,-87.695439685,"(41.926647792, -87.695439685)"
"E39","BATTERY","SIMPLE","RESIDENCE","false","false",434,4,7,51,"08B",41.700167359,-87.563191209,"(41.700167359, -87.563191209)"
"E40","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA","false","false",1651,16,41,76,"11",41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
"E41","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",923,9,14,63,"08B",41.796581899,-87.695099168,"(41.796581899, -87.695099168)"
"E42","BATTERY","AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST","APARTMENT","false","false",333,3,5,43,"04B",41.763456466,-87.579306774,"(41.763456466, -87.579306774)"
"E43","WEAPONS VIOLATION","RECKLESS FIREARM DISCHARGE","RESIDENTIAL YARD (FRONT/BACK)","true","false",1021,10,24,29,"15",41.855823906,-87.71389916,"(41.855823906, -87.71389916)"
"E44","ASSAULT","AGG PRO.EMP:KNIFE/CUTTING INST","GAS STATION","false","false",712,7,16,68,"04A",41.78701723,-87.645505595,"(41.78701723, -87.645505595)"
"E45","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true",823,8,16,66,"08B",41.780876438,-87.697594111,"(41.780876438, -87.697594111)"
"E46","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true",1032,10,22,30,"08B",41.837896144,-87.717055526,"(41.837896144, -87.717055526)"
"E47","THEFT","FROM BUILDING","RESTAURANT","false","false",1224,12,27,28,"06",41.881553034,-87.661024778,"(41.881553034, -87.661024778)"
"E48","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1122,11,27,23,"07",41.888744285,-87.718557585,"(41.888744285, -87.718557585)"
"E49","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN","STREET","true","false",2232,22,34,73,"15",41.707906807,-87.640431292,"(41.707906807, -87.640431292)"
"E50","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","true",835,8,18,70,"14",41.743796129,-87.683980665,"(41.743796129, -87.683980665)"
